run,ml_accuracy,ml_f1,rule_accuracy,rule_f1,hybrid_accuracy,hybrid_f1
226,0.583,0.5841290580651056,0.542,0.5297157740799593,0.564,0.558023043546502
246,0.575,0.573359252730078,0.536,0.5302304379956175,0.534,0.5258674860372098
161,0.571,0.5625978608223132,0.561,0.5494773810734855,0.535,0.5316341196814532
247,0.569,0.5665943893796689,0.561,0.5529540882640358,0.562,0.5468929825655775
235,0.597,0.5917819285759732,0.543,0.5284295109537006,0.558,0.5455257128438552
236,0.605,0.5991105553379872,0.582,0.566095861600906,0.561,0.5473845868495005
193,0.572,0.5661327313417757,0.538,0.5253053646252065,0.537,0.5284234838767369
242,0.611,0.6087978963274471,0.556,0.549943668981865,0.571,0.5617180706019865
237,0.594,0.5879048326730768,0.55,0.5420033746694464,0.554,0.5515322145013529
268,0.591,0.5843678591012228,0.562,0.5495146606999907,0.552,0.5478815368262594
222,0.587,0.5856807125261029,0.568,0.5564739454677516,0.579,0.5637467799523509
234,0.575,0.573112501628433,0.56,0.548450531941928,0.548,0.5362685855743653
265,0.569,0.5627625908627263,0.55,0.5323798081775153,0.531,0.5233704020125671
248,0.574,0.5688821390073854,0.573,0.5596563074506916,0.563,0.554102751640473
264,0.57,0.5683467643467643,0.563,0.5582981965541783,0.574,0.5658522440104389
244,0.583,0.5824484027376321,0.569,0.5617693721267655,0.57,0.5583208540827994
313,0.581,0.5795837076499488,0.557,0.5495537765342958,0.568,0.5574432755025747
202,0.593,0.5897673797753263,0.539,0.5283247655306539,0.545,0.538958983403428
213,0.607,0.6037645271779087,0.548,0.5431830236044602,0.561,0.5510773726653304
316,0.601,0.6002543322974507,0.568,0.5530280388668246,0.577,0.571100539468122
221,0.585,0.5790375407422319,0.557,0.5434262304447602,0.53,0.524366648066172
249,0.601,0.5949882578522865,0.573,0.5634542443834429,0.571,0.5675392788599414
267,0.601,0.6001990463842207,0.58,0.5740202948851233,0.59,0.575055093592466
229,0.593,0.5917849380378756,0.556,0.541317071836244,0.557,0.5449487207509639
224,0.606,0.6032987404466688,0.558,0.5545822512579127,0.562,0.5571694539985236
270,0.583,0.571652591871157,0.544,0.5279806614315526,0.536,0.5259051171803747
260,0.604,0.600823999411863,0.559,0.5546079329991861,0.578,0.5757974986899406
232,0.566,0.5597593073155701,0.569,0.5542622362348067,0.526,0.5179830471852869
251,0.598,0.5926982316714442,0.574,0.5622357022826847,0.573,0.5659831624655036
233,0.585,0.5803189310630404,0.564,0.5547212881512111,0.564,0.5550254537374596
284,0.581,0.5820367893268986,0.573,0.5669875327091983,0.563,0.5484712113855802
252,0.608,0.6013727392554092,0.539,0.5274654780673242,0.56,0.5535831326402033
256,0.587,0.5809159881257538,0.544,0.5333085383165305,0.565,0.5566039378866945
261,0.585,0.5783818552360004,0.516,0.5086685373688757,0.551,0.5455431876039196
239,0.582,0.5758731533605982,0.553,0.5431537358273785,0.582,0.5725074393166153
276,0.586,0.5823264748527642,0.572,0.5542187635154808,0.543,0.5352655447635478
231,0.616,0.6150978224938034,0.558,0.5451119760594932,0.553,0.5456855632469567
228,0.596,0.5923293741166903,0.572,0.5632873011197106,0.539,0.5302686076705154
286,0.626,0.6251424393946449,0.57,0.5615433866524521,0.591,0.5836195233129143
277,0.57,0.5664080652435386,0.566,0.5546511830212367,0.558,0.5515107230773056
275,0.586,0.578571033703396,0.566,0.551304223629098,0.553,0.5442905887742605
253,0.577,0.5749327221236412,0.549,0.5332371706799452,0.573,0.5605857972953114
287,0.602,0.5959112068159673,0.572,0.5697544114237187,0.548,0.5367066042530517
259,0.592,0.5870567707579593,0.521,0.5061798052554356,0.558,0.55132458954115
307,0.557,0.552117119613155,0.551,0.5448325397606512,0.522,0.5097501781341666
262,0.604,0.599417053215297,0.578,0.5693094208615553,0.558,0.5521993352290703
336,0.598,0.5934746928066338,0.56,0.5460096488994552,0.57,0.5603147043568187
289,0.61,0.6030287865269613,0.575,0.5624749126151567,0.559,0.5499065337853809
273,0.577,0.5754922662075871,0.545,0.5351065713978073,0.545,0.5334339886637826
170,0.599,0.596120948062401,0.533,0.5237902250464948,0.561,0.5548468030656214
255,0.604,0.600467892660358,0.576,0.5633157548646789,0.555,0.545782584845432
323,0.604,0.5992673264326808,0.565,0.5563676139786952,0.559,0.5476728876708817
312,0.585,0.5797188047192265,0.56,0.5527759286379976,0.567,0.5581143028576661
223,0.609,0.6047513607444802,0.586,0.5739417465819584,0.563,0.5592682304937219
318,0.608,0.6054136711832254,0.548,0.5359645463649492,0.567,0.5623756940075625
225,0.597,0.5906614573532759,0.568,0.5590833714421354,0.571,0.562994461133421
310,0.577,0.5729423536141188,0.537,0.5315833664777238,0.54,0.5320308319095074
238,0.583,0.5777718914708129,0.555,0.5414343733444761,0.559,0.5493281913432079
254,0.592,0.5878188753714634,0.553,0.5461078839373447,0.567,0.5592067680042491
308,0.559,0.5577869010606321,0.562,0.5561582894171606,0.542,0.5286410072240871
269,0.585,0.5843326281198427,0.564,0.5600291129775286,0.58,0.5713677213607568
294,0.551,0.5421110797963288,0.556,0.5409852458212389,0.528,0.5167624763261016
297,0.599,0.5942336254744351,0.568,0.5567661104629463,0.547,0.538996645493457
301,0.581,0.5725967404630521,0.583,0.5693082720351906,0.575,0.5637482158410624
314,0.58,0.5728460547425762,0.55,0.5431691341921359,0.561,0.5492105865816284
332,0.565,0.5627804094244522,0.538,0.5310890785181664,0.557,0.5464589081861223
266,0.589,0.5850887262998973,0.568,0.5512369668777479,0.555,0.5500395658893469
258,0.611,0.6081743072008753,0.547,0.5399364690063425,0.583,0.5740326409311706
333,0.587,0.5823570988691076,0.55,0.5396825269363696,0.581,0.575748518748195
311,0.601,0.5972552991523181,0.567,0.5574006361553638,0.571,0.5596479760734688
274,0.586,0.5807865195685361,0.553,0.5471123367679861,0.563,0.5524011075949367
295,0.606,0.6029085289188426,0.558,0.547982881823397,0.567,0.5638779068700329
257,0.632,0.6273401707968062,0.568,0.5527637168523217,0.59,0.5841365785656368
201,0.588,0.5867834704593151,0.558,0.5501483697663196,0.56,0.5544250224405812
250,0.596,0.5909357206935062,0.566,0.5525118406318393,0.542,0.5376665716226953
334,0.586,0.5801068806917459,0.545,0.5333350672302388,0.551,0.5449208527171412
282,0.595,0.5940526517985172,0.564,0.5588975076561967,0.57,0.5630162263188039
291,0.599,0.5955295819756187,0.56,0.5535457240566478,0.575,0.5738258560701844
280,0.6,0.5956277220097094,0.566,0.5502453102453103,0.55,0.5383713341967612
298,0.562,0.5607504628455062,0.563,0.553074762690412,0.57,0.5561737677527151
370,0.598,0.593102199991598,0.54,0.528470885834937,0.561,0.5525792743708436
306,0.59,0.5866751896101007,0.552,0.5389725270658091,0.556,0.5442713949142495
263,0.597,0.5947743589723259,0.563,0.5554603346073348,0.592,0.5843190369937942
368,0.578,0.5760782420810989,0.564,0.5552236597275637,0.561,0.55446548880124
317,0.599,0.5935584568088267,0.57,0.5651832448781601,0.591,0.5822830286648035
380,0.59,0.5857769252412294,0.553,0.5418241780727172,0.564,0.5562280120398008
325,0.587,0.583641811572846,0.559,0.5470176824214262,0.576,0.5632917593638971
219,0.606,0.6015937615851974,0.565,0.5533825117403287,0.567,0.5594924101250061
335,0.592,0.5903911528628237,0.537,0.5314827886407126,0.553,0.5462156430959954
350,0.573,0.5683935402961177,0.573,0.5638101395951364,0.56,0.546307929710424
272,0.59,0.5845294119921921,0.556,0.5499704904997272,0.548,0.5387213262830626
279,0.592,0.5888323343741191,0.543,0.5324693000108178,0.562,0.5494690074791132
349,0.62,0.615728583749267,0.55,0.537825431865167,0.544,0.5378007776555288
321,0.601,0.5948543067367051,0.572,0.5561217722978816,0.555,0.5523474927526208
372,0.585,0.5844251702915216,0.542,0.5331223805747834,0.551,0.5438181846158581
293,0.6,0.5929380587643126,0.548,0.5297565179398126,0.553,0.5399201046533424
354,0.606,0.6025550290410725,0.552,0.5342462465008678,0.56,0.5484046530558159
373,0.599,0.5924559663814752,0.576,0.5690205165519422,0.572,0.5677309771749499
304,0.596,0.5951557151647042,0.557,0.550054995453454,0.574,0.5645401616093328
386,0.568,0.5592792191494909,0.56,0.5514321313099448,0.536,0.5318200319154276
211,0.598,0.596809315944972,0.566,0.559260544164665,0.549,0.5421350738248175
290,0.598,0.5944642762963702,0.549,0.5337182620190214,0.58,0.5747678101581261
364,0.608,0.6034195964265895,0.568,0.5555292492806078,0.564,0.5524798959641871
