run,ml_accuracy,ml_f1,rule_accuracy,rule_f1,hybrid_accuracy,hybrid_f1
266,0.619,0.6184417984438285,0.5625,0.5558876860601242,0.5685,0.5593499927969491
267,0.619,0.6178756351741641,0.556,0.5476301794510458,0.5675,0.5581826280477585
268,0.588,0.584141617044636,0.5345,0.5242581199157749,0.5485,0.5386447181214296
269,0.596,0.593577896840994,0.556,0.5442507969749429,0.571,0.5590702106596613
270,0.5945,0.5930122454741502,0.5455,0.5346720214190094,0.554,0.5422408373571433
271,0.5935,0.5917073592135579,0.553,0.5415524613523973,0.5565,0.5491743011671812
272,0.5935,0.5917176669611933,0.5525,0.5443833815682799,0.567,0.5592664307498453
273,0.611,0.606668978287873,0.5515,0.5416634151919214,0.5675,0.5624619490541544
274,0.6045,0.6012940442782276,0.5535,0.5393692412066943,0.565,0.5536289343220036
275,0.6045,0.6022915341549475,0.5555,0.5437891167035385,0.549,0.5415868254206431
276,0.628,0.6262266900277127,0.5595,0.5492197062927636,0.587,0.57898978521487
277,0.6115,0.6056157021875811,0.554,0.5396873154586675,0.569,0.5624979606589601
278,0.587,0.5830716577706299,0.548,0.5355510177128244,0.5425,0.5364407570351913
279,0.602,0.6014554680989036,0.553,0.5481646874816338,0.562,0.5532278218470777
280,0.583,0.5818023980152507,0.5415,0.5304258605035459,0.5655,0.5550485892090506
281,0.596,0.594392053823286,0.556,0.5471058071875213,0.563,0.550585284970973
282,0.593,0.5917342689800659,0.5345,0.5271300897747427,0.5765,0.567331302373067
283,0.5985,0.5906564721141572,0.5535,0.5386915727850993,0.5405,0.5376503916131674
284,0.6055,0.6050510562496864,0.554,0.5417716731865007,0.565,0.5542861709405272
285,0.6195,0.6166573431272472,0.5475,0.5352410771913924,0.5625,0.5507056251509622
286,0.618,0.6143588615845442,0.555,0.5416975635447235,0.555,0.5444671946485734
287,0.605,0.6042843065378236,0.561,0.551919765632659,0.585,0.5728867809933152
288,0.609,0.604155168591889,0.5515,0.5397487294159552,0.5515,0.5403804774453721
289,0.593,0.5869161868483753,0.5485,0.5401701157899321,0.544,0.5362699997446235
290,0.5915,0.587580406128133,0.5475,0.537383724576198,0.5515,0.5435571952428019
291,0.6055,0.6049368506725227,0.5545,0.5439108607701103,0.559,0.5518719675387759
292,0.6185,0.6173797391712531,0.5495,0.5369853414410878,0.5645,0.557565638873838
293,0.6015,0.6015375562028492,0.542,0.5357420561643761,0.583,0.5779871219223529
294,0.614,0.6099103675542227,0.5555,0.5424691092216866,0.5765,0.5654023665365325
295,0.601,0.593291764174607,0.5465,0.5344689684647556,0.5355,0.5273113489027995
296,0.586,0.5808240925870757,0.5365,0.5252566720892756,0.555,0.541273798101182
297,0.616,0.6109547420743363,0.5575,0.5473457790495492,0.5725,0.5654205389121768
298,0.583,0.5775784333879606,0.5375,0.5292731456041124,0.55,0.543497081183301
299,0.6205,0.6173132119525504,0.5495,0.5386928961822585,0.5535,0.5438779239376327
300,0.6135,0.6101840916495377,0.565,0.5511254368839508,0.563,0.5527855736249979
301,0.604,0.5982113599307813,0.5615,0.5522456518393105,0.559,0.5486315842551791
302,0.6105,0.6095145557843854,0.5545,0.5441394636686306,0.5635,0.5540222063370975
303,0.5865,0.5874655616427283,0.5695,0.5633519384831601,0.5725,0.565608861781274
304,0.5875,0.5870378483824724,0.549,0.5411546193375217,0.55,0.5410721336701216
305,0.593,0.59206580044538,0.5515,0.5432385409699673,0.556,0.5481566386513949
306,0.5775,0.5745941063880993,0.5615,0.5531961567549081,0.5685,0.5569362531554712
307,0.596,0.5915915938795393,0.54,0.5283955082450319,0.56,0.554384870964483
308,0.605,0.6024417324521114,0.5575,0.5475062943617818,0.542,0.5296143965533334
309,0.6215,0.6177831953600778,0.543,0.5261383492650838,0.5635,0.5557007784797069
310,0.582,0.5800053827367017,0.5635,0.5527552416530209,0.5675,0.5563432983300821
311,0.6015,0.6014388823016684,0.5425,0.5332568446001098,0.5565,0.546967407553065
312,0.618,0.6152708443442753,0.5495,0.5413125277679866,0.5715,0.5632825447951498
313,0.6125,0.6103473659995399,0.5515,0.5440167647000366,0.572,0.5613351077025888
314,0.6075,0.6021941471741407,0.5505,0.5384282430135042,0.5585,0.5498437079735657
315,0.61,0.6076129528033168,0.552,0.5407164792339096,0.5605,0.5529160040231789
316,0.612,0.6113145404998838,0.549,0.5440850697612087,0.5575,0.5448568550232448
317,0.61,0.608451579992281,0.5655,0.5562059914425962,0.5725,0.5581427982229842
318,0.5925,0.5884824616791878,0.5415,0.5332331567941807,0.545,0.5385734582626589
319,0.6125,0.6090238632941801,0.543,0.5323306240855067,0.57,0.5613030634801152
320,0.5955,0.5942207138530035,0.54,0.5321485906997101,0.5475,0.5392355977679216
321,0.6175,0.614563619586896,0.5405,0.5346498569196518,0.5585,0.5514874682192488
322,0.5935,0.5919083395737369,0.5455,0.5357752065574625,0.5665,0.5577420777610587
323,0.616,0.6113629605075724,0.572,0.5615780679283723,0.5705,0.5582614777230469
324,0.6075,0.6070327097037124,0.554,0.5471003686231,0.563,0.551491241703559
325,0.6185,0.61796970750035,0.5395,0.5308040950549565,0.545,0.5350687344109445
326,0.6065,0.6044792835853544,0.5425,0.5345080829129009,0.553,0.5439037822367548
327,0.5975,0.5957765580863765,0.5585,0.5501350805435917,0.5665,0.556554922801956
